Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Croatia,HRV,2007,7,0,35,4.7
Croatia,HRV,2008,21,0,0.04,5.781
Croatia,HRV,2009,25,16.464,54,7.409
Croatia,HRV,2010,33,16.464,139,9.126
Croatia,HRV,2011,55,16.464,201,5.033
Croatia,HRV,2012,94,2,329,4.837
Croatia,HRV,2013,125,11.293.959,517,8.622
Croatia,HRV,2014,165,35,0.73,9.007
Croatia,HRV,2015,266,57,796,6.391
Croatia,HRV,2016,431,66,1.014,6.853
Croatia,HRV,2017,5.256,787,1.204,5.3074
Croatia,HRV,2018,6.701,749,1.3354,7.7009
Croatia,HRV,2019,9.703,831,1.4673,5.8261
Croatia,HRV,2020,1.072,955,1.7207,5.6624
Croatia,HRV,2021,11.852.294,972.935,206.732,7.153.081
Cyprus,CYP,1965,0,0,0,0
Cyprus,CYP,1966,0,0,0,0
Cyprus,CYP,1967,0,0,0,0
Cyprus,CYP,1968,0,0,0,0
Cyprus,CYP,1969,0,0,0,0
Cyprus,CYP,1970,0,0,0,0
Cyprus,CYP,1971,0,0,0,0
Cyprus,CYP,1972,0,0,0,0
Cyprus,CYP,1973,0,0,0,0
Cyprus,CYP,1974,0,0,0,0
Cyprus,CYP,1975,0,0,0,0
Cyprus,CYP,1976,0,0,0,0
Cyprus,CYP,1977,0,0,0,0
Cyprus,CYP,1978,0,0,0,0
Cyprus,CYP,1979,0,0,0,0
Cyprus,CYP,1980,0,0,0,0
Cyprus,CYP,1981,0,0,0,0
Cyprus,CYP,1982,0,0,0,0
Cyprus,CYP,1983,0,0,0,0
Cyprus,CYP,1984,0,0,0,0
Cyprus,CYP,1985,0,0,0,0
Cyprus,CYP,1986,0,0,0,0
Cyprus,CYP,1987,0,0,0,0
Cyprus,CYP,1988,0,0,0,0
Cyprus,CYP,1989,0,0,0,0
Cyprus,CYP,1990,0,0,0,0
Cyprus,CYP,1991,0,0,0,0
Cyprus,CYP,1992,0,0,0,0
Cyprus,CYP,1993,0,0,0,0
Cyprus,CYP,1994,0,0,0,0
Cyprus,CYP,1995,0,0,0,0
Cyprus,CYP,1996,0,0,0,0
Cyprus,CYP,1997,0,0,0,0
Cyprus,CYP,1998,0,0,0,0
Cyprus,CYP,1999,0,0,0,0
Cyprus,CYP,2000,0,0,0,0
Cyprus,CYP,2001,0,0,0,0
Cyprus,CYP,2002,0,0,0,0
Cyprus,CYP,2003,0,0,0,0
Cyprus,CYP,2004,0,4,355,0
Cyprus,CYP,2005,0,566,355,0
Cyprus,CYP,2006,155,1.002,355,0
Cyprus,CYP,2007,14,1.733,356,0
Cyprus,CYP,2008,12,3,356,0
Cyprus,CYP,2009,27,4,356,0
Cyprus,CYP,2010,35,7,31,0
Cyprus,CYP,2011,52,12,114,0
Cyprus,CYP,2012,0.05,22,185,0
Cyprus,CYP,2013,49,47,231,0
Cyprus,CYP,2014,505,836,1.839,0
Cyprus,CYP,2015,51.236,126.659,221.857,0
Cyprus,CYP,2016,52.021,145.937,226.701,0
Cyprus,CYP,2017,5.175,17.202,21.145,0
Cyprus,CYP,2018,5.136,19.183,22.061,0
Cyprus,CYP,2019,5.792,218.267,238.565,0
Cyprus,CYP,2020,60.632,295.608,240.408,0
Cyprus,CYP,2021,41.871,473.899,246.478,
Czechia,CZE,1965,0,0,0,2.231.797
Czechia,CZE,1966,0,0,0,21.036.344
Czechia,CZE,1967,0,0,0,18.959.225
Czechia,CZE,1968,0,0,0,14.672.408
Czechia,CZE,1969,0,0,0,11.976.573
Czechia,CZE,1970,0,0,0,17.103.078
Czechia,CZE,1971,0,0,0,1.208
Czechia,CZE,1972,0,0,0,1.264
Czechia,CZE,1973,0,0,0,1.081
Czechia,CZE,1974,0,0,0,1.819
Czechia,CZE,1975,0,0,0,1.814
Czechia,CZE,1976,0,0,0,1.446
Czechia,CZE,1977,0,0,0,1.967
Czechia,CZE,1978,0,0,0,1.83
Czechia,CZE,1979,0,0,0,2.293
Czechia,CZE,1980,0,0,0,2.399
Czechia,CZE,1981,0,0,0,2.061
Czechia,CZE,1982,0,0,0,1.67
Czechia,CZE,1983,0,0,0,1.655
Czechia,CZE,1984,0,0,0,1.298
Czechia,CZE,1985,0,0,0,1.671
Czechia,CZE,1986,0,0,0,1.876
Czechia,CZE,1987,0,0,0,2.465
Czechia,CZE,1988,0,0,0,2.099
Czechia,CZE,1989,0,0,0,1.643
Czechia,CZE,1990,0,0,0,1.161
Czechia,CZE,1991,0,0,0,1.089
Czechia,CZE,1992,0,0,0,1.402
Czechia,CZE,1993,221,0,0,1.369
Czechia,CZE,1994,309,0,0,1.46
Czechia,CZE,1995,405,0,0,2.002
Czechia,CZE,1996,292,0,0,1.969
Czechia,CZE,1997,494,0,0,1.699
Czechia,CZE,1998,587,0,0,1.396
Czechia,CZE,1999,683,0,0,1.681
Czechia,CZE,2000,517,0,0,1.758
Czechia,CZE,2001,514,0,2,2.054
Czechia,CZE,2002,494,0,16,2.492
Czechia,CZE,2003,0.49,0,39,1.383
Czechia,CZE,2004,580.831,1,99,2.0191
Czechia,CZE,2005,648.312,68,2.128,237.991
Czechia,CZE,2006,912.375,17,49.375,255.073
Czechia,CZE,2007,1.187.319,1.754,125.098,2.079.338
Czechia,CZE,2008,1.456.526,12.937,244.661,2.024.335
Czechia,CZE,2009,186.202,88.807,288.067,242.962
Czechia,CZE,2010,2.146.246,615.702,335.493,2.7894
Czechia,CZE,2011,2.705.329,2.118,3.968,2.1341
Czechia,CZE,2012,3.361.419,2.1731,4.173,2.2315
Czechia,CZE,2013,3.995.469,2.0702,4.783,2.8564
Czechia,CZE,2014,4.661.073,2.1229,4.765,1.9092
Czechia,CZE,2015,4.791.685,2.2638,5.726,1.7948
Czechia,CZE,2016,476.655,2.131,497,2.2005
Czechia,CZE,2017,4.964.567,2.193.368,591.038,1.8695
Czechia,CZE,2018,4.826.179,2.339.677,60.933,1.6274
Czechia,CZE,2019,5.0306,2.2859,0.7,2.008
Czechia,CZE,2020,5.0917,2.2331,6.991,2.1423
Czechia,CZE,2021,5.255.897,21.506.805,6.015.169,24.081.883
Denmark,DNK,1965,0,0,0,25
Denmark,DNK,1966,0,0,0,26
Denmark,DNK,1967,0,0,0,25
Denmark,DNK,1968,0,0,0,21
Denmark,DNK,1969,0,0,0,22
Denmark,DNK,1970,0,0,0,24
Denmark,DNK,1971,0,0,0,24
Denmark,DNK,1972,0,0,0,24
Denmark,DNK,1973,0,0,0,24
Denmark,DNK,1974,0,0,0,24
Denmark,DNK,1975,0,0,0,21
Denmark,DNK,1976,0,0,0,19
Denmark,DNK,1977,0,0,0,26
Denmark,DNK,1978,0,0,3,27
Denmark,DNK,1979,0,0,6,29
Denmark,DNK,1980,0,0,105,341
Denmark,DNK,1981,0,0,105,355
Denmark,DNK,1982,0,0,185,303
Denmark,DNK,1983,33,0,271,335
Denmark,DNK,1984,33,0,332,302
Denmark,DNK,1985,36,0,514,297
Denmark,DNK,1986,51,0,1.256,286
Denmark,DNK,1987,61,0,1.738,294
Denmark,DNK,1988,0.08,0,2.917,328
Denmark,DNK,1989,126,0,4.284,229
Denmark,DNK,1990,0.21,0,6.103,28
Denmark,DNK,1991,355,0,7.401,254
Denmark,DNK,1992,521,0,9.154,277
Denmark,DNK,1993,728,0,1.0342,275
Denmark,DNK,1994,5.733.997,0,1.137,326
Denmark,DNK,1995,64.684.045,0,1.1773,303
Denmark,DNK,1996,8.321.832,161.111,1.2269,193
Denmark,DNK,1997,9.756.674,319.444,1.9342,192
Denmark,DNK,1998,1.078.157,4,2.8199,273
Denmark,DNK,1999,13.189.089,880.556,3.029,305
Denmark,DNK,2000,12.996.056,12,4.2412,302
Denmark,DNK,2001,15.115.592,12,43.060.193,276
Denmark,DNK,2002,18.791.215,1.280.556,4.876.939,318
Denmark,DNK,2003,24.933.515,1.519.444,55.607.834,212
Denmark,DNK,2004,29.107.547,1.838.889,65.831.113,265
Denmark,DNK,2005,31.742.494,2.161.111,6.614,225
Denmark,DNK,2006,30.699.494,2.213.889,61.079.583,234
Denmark,DNK,2007,3.105.064,2.494.444,7.1712,282
Denmark,DNK,2008,31.405.714,2.622.222,6.9278,258
Denmark,DNK,2009,33.202.577,375,6.7205,189
Denmark,DNK,2010,45.939.307,6.161.111,7.809.422,20.641.668
Denmark,DNK,2011,4.375.025,15.130.556,9.774.183,16.869.444
Denmark,DNK,2012,44.460.053,10.386.111,10.269.938,17.475
Denmark,DNK,2013,4.313.503,51.754.165,11.123.275,13.419.444
Denmark,DNK,2014,43.018.527,5.955.167,13.078.503,15.102.778
Denmark,DNK,2015,4.200.628,6.042.611,14.133.092,18.030.556
Denmark,DNK,2016,4.845.242,74.378.055,12.781.731,19.272.221
Denmark,DNK,2017,6.248.558,7.514.861,14.78,17.872.222
Denmark,DNK,2018,5.890.091,952.973,13.901.956,14.861.111
Denmark,DNK,2019,5.949.397,9.632.695,16.149.834,16.955
Denmark,DNK,2020,592.386,1.180.532,16.330.214,17.064
Denmark,DNK,2021,8.734.226,12.779.185,16.031.755,163.087
Eastern Africa (BP),,1971,126,0,0,89.030.695
Eastern Africa (BP),,1972,127,0,0,10.891.284
Eastern Africa (BP),,1973,132,0,0,112.493.105
Eastern Africa (BP),,1974,136,0,0,14.267.528
Eastern Africa (BP),,1975,133,0,0,15.188.581
Eastern Africa (BP),,1976,146,0,0,16.743.711
Eastern Africa (BP),,1977,149,0,0,19.092.785
Eastern Africa (BP),,1978,155,0,0,1.823.882
Eastern Africa (BP),,1979,161,0,0,19.775
Eastern Africa (BP),,1980,167,0,0,18.078.556
Eastern Africa (BP),,1981,177,0,0,18.878.674
Eastern Africa (BP),,1982,195,0,0,19.574.581
Eastern Africa (BP),,1983,189,0,0,19.379.673
Eastern Africa (BP),,1984,192,0,0,188.871
Eastern Africa (BP),,1985,227,0,0,19.691.685
Eastern Africa (BP),,1986,617,0,0,18.845.373
Eastern Africa (BP),,1987,615,0,0,1.642.696
Eastern Africa (BP),,1988,583,0,0,18.618.456
Eastern Africa (BP),,1989,574,0,0,18.026.215
Eastern Africa (BP),,1990,701,0,0,21.345.568
Eastern Africa (BP),,1991,704,0,0,21.742.558
Eastern Africa (BP),,1992,697,0,0,1.963.299
Eastern Africa (BP),,1993,696,0,0,20.532.532
Eastern Africa (BP),,1994,584,0,0,20.672.321
Eastern Africa (BP),,1995,728,0,0,20.861.898
Eastern Africa (BP),,1996,89.209.306,0,0,20.735.678
Eastern Africa (BP),,1997,91.009.307,0,0,21.813.017
Eastern Africa (BP),,1998,11.445.019,0,0,27.865.046
Eastern Africa (BP),,1999,11.321.862,0,0,29.365.875
Eastern Africa (BP),,2000,14.997.631,0,1,30.854.149
Eastern Africa (BP),,2001,15.956.526,174,0,3.495.843
Eastern Africa (BP),,2002,1.4887,347,3,37.998.413
Eastern Africa (BP),,2003,1.8968,347,4,38.378.887
Eastern Africa (BP),,2004,2.1822,695,9,3.895.177
Eastern Africa (BP),,2005,2.1533,1.373,13,40.263.622
Eastern Africa (BP),,2006,229.319,5.307,48,42.559.586
Eastern Africa (BP),,2007,220.555,10.109.283,11,46.386.646
Eastern Africa (BP),,2008,2.321.822,19.133.093,1.607,4.578.768
Eastern Africa (BP),,2009,26.787.221,33.482.917,267,48.020.245
Eastern Africa (BP),,2010,2.936.542,9.736.586,3.821,53.977.245
Eastern Africa (BP),,2011,29.387.567,1.780.468,3.413,5.561.847
Eastern Africa (BP),,2012,308.965,24.909.586,1.539.782,58.066.105
Eastern Africa (BP),,2013,3.436.722,31.052.437,3.147.111,617.628
Eastern Africa (BP),,2014,4.613.438,40.697.262,4.413.035,6.599.349
Eastern Africa (BP),,2015,63.483.105,46.594.086,7.777.217,65.373.634
Eastern Africa (BP),,2016,64.327.717,5.325.438,8.899.006,6.186.331
Eastern Africa (BP),,2017,6.6914,6.092.849,791.775,6.454.449
Eastern Africa (BP),,2018,72.891.254,72.631.985,862.747,6.878.536
Eastern Africa (BP),,2019,7.342.404,10.392.841,22.248.955,68.631.454
Eastern Africa (BP),,2020,7.147.771,11.710.402,19.754.963,72.759.254
Eastern Africa (BP),,2021,710.964,13.564.011,26.304.996,7.795.909
Eastern Africa (BP),,1965,,,,60.475.354
Eastern Africa (BP),,1966,,,,71.675.773
Eastern Africa (BP),,1967,,,,7.010.667
Eastern Africa (BP),,1968,,,,7.197.783
Eastern Africa (BP),,1969,,,,79.119.015
Eastern Africa (BP),,1970,,,,11.339.996
Ecuador,ECU,1965,0,0,0,249
Ecuador,ECU,1966,0,0,0,285
Ecuador,ECU,1967,0,0,0,314
Ecuador,ECU,1968,0,0,0,328
Ecuador,ECU,1969,0,0,0,364
Ecuador,ECU,1970,0,0,0,405
Ecuador,ECU,1971,0,0,0,0.44
Ecuador,ECU,1972,0,0,0,445
Ecuador,ECU,1973,0,0,0,435
Ecuador,ECU,1974,0,0,0,0.5
Ecuador,ECU,1975,0,0,0,628
Ecuador,ECU,1976,0,0,0,605
Ecuador,ECU,1977,0,0,0,558
Ecuador,ECU,1978,0,0,0,791
Ecuador,ECU,1979,0,0,0,709
Ecuador,ECU,1980,0,0,0,872
Ecuador,ECU,1981,0,0,0,779
Ecuador,ECU,1982,0,0,0,895
Ecuador,ECU,1983,0,0,0,1.721
Ecuador,ECU,1984,0,0,0,3.233
Ecuador,ECU,1985,0,0,0,3.279
Ecuador,ECU,1986,0,0,0,4.012
Ecuador,ECU,1987,0,0,0,4.57
Ecuador,ECU,1988,0,0,0,4.826
Ecuador,ECU,1989,0,0,0,4.954
Ecuador,ECU,1990,0,0,0,49.866.877
Ecuador,ECU,1991,0,0,0,5.075.921
Ecuador,ECU,1992,0,0,0,4.973.581
Ecuador,ECU,1993,0,0,0,58.101.373
Ecuador,ECU,1994,0,0,0,65.652.776
Ecuador,ECU,1995,0,0,0,5.160.551
Ecuador,ECU,1996,0,0,0,63.434.153
Ecuador,ECU,1997,0,0,0,65.341.773
Ecuador,ECU,1998,0,0,0,65.060.954
Ecuador,ECU,1999,0,0,0,7.176.726
Ecuador,ECU,2000,0,0,0,76.112.313
Ecuador,ECU,2001,0,0,0,70.706.525
Ecuador,ECU,2002,0,0,0,7.524.256
Ecuador,ECU,2003,0,0,0,7.180.417
Ecuador,ECU,2004,324.057,0,0,74.116.993
Ecuador,ECU,2005,102.856.286,124,0,68.826.394
Ecuador,ECU,2006,14.555.573,14.875,0,7.129.493
Ecuador,ECU,2007,21.875.276,18.162,962.135,9.037.655
Ecuador,ECU,2008,20.832.446,26.687,2.682.461,11.293.333
Ecuador,ECU,2009,2.165.198,788,3.204.417,9.225.408
Ecuador,ECU,2010,23.556.188,0,343.485,8.636.401
Ecuador,ECU,2011,27.820.036,5.812,334.467,11.133.088
Ecuador,ECU,2012,29.635.325,32.566,2.398.368,12.237.723
Ecuador,ECU,2013,29.578.793,3.663.607,56.702.975,11.038.825
Ecuador,ECU,2014,3.994.712,16.482.696,7.974.247,11.457.895
Ecuador,ECU,2015,40.775.105,36.057.927,98.806.314,1.309.627
Ecuador,ECU,2016,4.897.965,38.754.817,8.395.875,15.833.842
Ecuador,ECU,2017,43.085,3.748,734,2.008.861
Ecuador,ECU,2018,42.796.764,38.079.325,8.025.777,20.678.001
Ecuador,ECU,2019,45.472.345,16.645.227,85.526.936,24.664.263
Ecuador,ECU,2020,47.058,3.776,771,2.433.326
Ecuador,ECU,2021,41.493,3.687,6.201,2.557.461
Egypt,EGY,1965,0,0,0,17.324.048
Egypt,EGY,1966,0,0,0,18.252.122
Egypt,EGY,1967,0,0,0,1.966.633
Egypt,EGY,1968,0,0,0,30.007.727
Egypt,EGY,1969,0,0,0,39.907.181
Egypt,EGY,1970,0,0,0,46.889.834
Egypt,EGY,1971,0,0,0,50.469.546
Egypt,EGY,1972,0,0,0,5.161.859
Egypt,EGY,1973,0,0,0,51.530.204
Egypt,EGY,1974,0,0,0,611.645
Egypt,EGY,1975,0,0,0,6.792.618
Egypt,EGY,1976,0,0,0,8.003.533
Egypt,EGY,1977,0,0,0,9.037.673
Egypt,EGY,1978,0,0,0,9.930.392
Egypt,EGY,1979,0,0,0,9.607.776
Egypt,EGY,1980,0,0,0,9.802.229
Egypt,EGY,1981,0,0,0,10.213.233
Egypt,EGY,1982,0,0,0,10.491.655
Egypt,EGY,1983,0,0,0,9.815.488
Egypt,EGY,1984,0,0,0,9.629.872
Egypt,EGY,1985,0,0,0,9.148
Egypt,EGY,1986,0,0,0,8.972
Egypt,EGY,1987,0,0,0,8.9695
Egypt,EGY,1988,0,0,0,8.829
Egypt,EGY,1989,0,0,0,9.487
Egypt,EGY,1990,0,0,0,9.953
Egypt,EGY,1991,0,0,0,9.916
Egypt,EGY,1992,0,0,0,9.8
Egypt,EGY,1993,0,0,0,10.0925
Egypt,EGY,1994,0,0,0,10.728
Egypt,EGY,1995,0,0,0,11.192
Egypt,EGY,1996,0,0,0,11.484
Egypt,EGY,1997,0,0,0,11.771
Egypt,EGY,1998,0,0,0,12.1045
Egypt,EGY,1999,0,0,12,134.405
Egypt,EGY,2000,0,2,805,14.178
Egypt,EGY,2001,0,9,179,144.135
Egypt,EGY,2002,0,1,2.125,139.945
Egypt,EGY,2003,0,1,286,12.939
Egypt,EGY,2004,0,1,5.040.505,12.8315
Egypt,EGY,2005,0,1,5.101.111,12.644
Egypt,EGY,2006,0,1,6.050.606,12.7845
Egypt,EGY,2007,0,12,66.243.637,142.175
Egypt,EGY,2008,0,15,92.981.315,15.096
Egypt,EGY,2009,0,22,10.371.939,137.725
Egypt,EGY,2010,0,252,14.091.434,12.9545
Egypt,EGY,2011,0,244.569,14.948.249,12.99
Egypt,EGY,2012,0,504.201,13.362.031,130.275
Egypt,EGY,2013,0,25.437,15.765.831,132.365
Egypt,EGY,2014,0,139.549,10.281.278,13.587
Egypt,EGY,2015,0,42,18.945.454,136.835
Egypt,EGY,2016,0,23.361,2.396.693,131.975
Egypt,EGY,2017,0,602.545,21.095.762,12.788
Egypt,EGY,2018,0,553.013,2.987.391,12.812.546
Egypt,EGY,2019,0,148.996,4.978.727,140.795
Egypt,EGY,2020,0,28.365.073,6.848.341,149.035
Egypt,EGY,2021,0,28.287.573,76.288.185,14.636.906
Estonia,EST,1990,0,0,0,0
Estonia,EST,1991,0,0,0,0
Estonia,EST,1992,0,0,0,0
Estonia,EST,1993,0,0,0,0
Estonia,EST,1994,0,0,0,0
Estonia,EST,1995,6,0,0,0
Estonia,EST,1996,5,0,0,0
Estonia,EST,1997,8,0,0,0
Estonia,EST,1998,12,0,0,0
Estonia,EST,1999,12,0,0,4
Estonia,EST,2000,13,0,0,5
Estonia,EST,2001,11,0,0,7
Estonia,EST,2002,27,0,14,6
Estonia,EST,2003,26,0,61,13
Estonia,EST,2004,31,0,76,22
Estonia,EST,2005,33,0,539,22
Estonia,EST,2006,38,0,763,14
Estonia,EST,2007,36,0,91,22
Estonia,EST,2008,38,0,133,28
Estonia,EST,2009,314,1,195,32
Estonia,EST,2010,742,1,277,27
Estonia,EST,2011,783,2,368,0.03
Estonia,EST,2012,1.001,3,434,42
Estonia,EST,2013,667,14,529,26
Estonia,EST,2014,0.74,31,604,267
Estonia,EST,2015,779,59,7.151,27
Estonia,EST,2016,885,9.677,594,35
Estonia,EST,2017,1.038,14.492,723,26
Estonia,EST,2018,1.261,30.802,636,15
Estonia,EST,2019,1.299,735,687,19
Estonia,EST,2020,1.777,1.269.118,844,0.03
Estonia,EST,2021,21.158.469,2.521.306,7.421.591,31.054.053
Estonia,EST,1985,,,,0
Estonia,EST,1986,,,,0
Estonia,EST,1987,,,,0
Estonia,EST,1988,,,,0
Estonia,EST,1989,,,,0
Europe,,1965,29.090.002,0,0,38.145.035
Europe,,1966,39.789.999,0,0,41.405.478
Europe,,1967,4.316,0,0,41.065.195
Europe,,1968,48.180.003,0,0,43.710.187
Europe,,1969,5.244.904,0,0,442.712
Europe,,1970,6.952.357,0,0,46.742.227
Europe,,1971,70.698.833,0,0,47.305.194
Europe,,1972,6.947.608,0,0,48.352.777
Europe,,1973,7.466.391,0,0,48.905.432
Europe,,1974,783.506,0,0,5.279.655
Europe,,1975,8.300.942,0,0,5.275.942
Europe,,1976,8.324.597,0,0,50.419.492
Europe,,1977,8.662.292,0,0,5.947.134
Europe,,1978,9.235.139,0,3,6.158.949
Europe,,1979,9.617.958,0,6,640.884
Europe,,1980,10.604.949,0,105,63.735.645
Europe,,1981,10.643.523,0,105,6.445.633
Europe,,1982,9.836.121,0,185,62.681.995
Europe,,1983,10.136.652,0,30.100.001,64.914.514
Europe,,1984,10.488.478,1.010.101,382,67.475.525
Europe,,1985,1.189.874,1.010.101,574,6.506.956
Europe,,1986,12.975.209,1.010.101,1.336,63.857.153
Europe,,1987,12.817.402,0,19.080.001,6.734.357
Europe,,1988,13.609.699,1.010.101,3.297,699.463
Europe,,1989,13.474.676,9.090.909,5.154,6.356.123
Europe,,1990,18.937.754,125,77.946.043,6.461.752
Europe,,1991,19.534.733,15.500.001,98.002.803,65.852.045
Europe,,1992,20.659.903,25.088.001,15.350.481,67.569.965
Europe,,1993,22.833.096,32.383,2.284.826,69.082.385
Europe,,1994,239.799,346.885,29.792.356,7.025.557
Europe,,1995,2.628.833,4.484,38.630.292,7.056.242
Europe,,1996,265.231,4.781.141,48.285.856,6.619.361
Europe,,1997,3.136.772,56.926.243,7.295.493,6.853.179
Europe,,1998,35.309.044,670.885,11.170.979,71.020.013
Europe,,1999,37.298.702,8.019.806,14.223.822,72.401.434
Europe,,2000,4.083.785,7.447.325,22.410.215,75.092.126
Europe,,2001,44.781.166,1.942.025,26.865.986,76.191.907
Europe,,2002,50.947.037,31.475.502,3.639.815,6.924.999
Europe,,2003,5.828.682,46.869.773,44.852.352,6.505.362
Europe,,2004,69.246.056,75.109.786,59.757.095,70.042.944
Europe,,2005,7.935.107,15.123.832,7.159.055,70.481.067
Europe,,2006,89.888.374,2.569.088,8.365.384,6.910.072
Europe,,2007,999.839,38.777.049,1.061.637,7.051.938
Europe,,2008,11.035.963,7.589.071,1.213.246,72.458.234
Europe,,2009,12.063.333,14.324.835,13.466.466,72.803.046
Europe,,2010,13.654.741,23.495.037,15.053.226,76.453.345
Europe,,2011,14.583.566,4.710.389,18.194.289,6.804.041
Europe,,2012,16.213.869,72.233.894,2.091.829,7.312.924
Europe,,2013,17.266.672,8.655.054,24.057.028,7.836.045
Europe,,2014,18.339.012,9.748.233,2.564.001,776.928
Europe,,2015,19.483.345,108.385.086,3.074.658,73.707.294
Europe,,2016,1.975.783,11.185.476,3.075.515,7.686.971
Europe,,2017,20.282.663,120.501.144,3.665.533,71.173.627
Europe,,2018,20.848.138,12.911.078,38.371.252,77.725.073
Europe,,2019,21.507.036,1.423.568,43.809.222,7.345.362
Europe,,2020,21.937.163,1.667.337,48.922.644,792.66
Europe,,2021,22.999.367,18.531.532,47.465.585,80.883.356
Europe (BP),,1965,3.009,0,0,30.219.534
Europe (BP),,1966,4.101,0,0,3.245.699
Europe (BP),,1967,4.489,0,0,32.446.274
Europe (BP),,1968,4.997,0,0,33.623.666
Europe (BP),,1969,5.422.904,0,0,33.097.592
Europe (BP),,1970,7.118.357,0,0,34.607.806
Europe (BP),,1971,72.318.835,0,0,34.956.314
Europe (BP),,1972,7.122.608,0,0,36.383.298
Europe (BP),,1973,7.663.391,0,0,3.693.127
Europe (BP),,1974,804.206,0,0,3.992.913
Europe (BP),,1975,8.520.942,0,0,40.751.077
Europe (BP),,1976,8.485.598,0,0,3.768.347
Europe (BP),,1977,8.880.291,0,0,45.627.164
Europe (BP),,1978,9.372.139,0,3,45.552.872
Europe (BP),,1979,9.762.958,0,6,47.914.987
Europe (BP),,1980,1.074.095,0,105,46.476.663
Europe (BP),,1981,10.753.523,0,105,4.704.354
Europe (BP),,1982,9.836.121,0,185,46.630.966
Europe (BP),,1983,10.136.652,0,301,48.012.585
Europe (BP),,1984,10.510.578,1.010.101,382,48.519.354
Europe (BP),,1985,11.904.739,1.010.101,574,50.299.454
Europe (BP),,1986,13.018.809,1.010.101,1.336,48.609.317
Europe (BP),,1987,12.875.301,0,1.908,5.295.057
Europe (BP),,1988,136.781,1.010.101,3.297,567.469
Europe (BP),,1989,13.537.276,9.090.909,5.154,49.380.594
Europe (BP),,1990,18.952.852,125,77.946.043,50.245.715
Europe (BP),,1991,19.589.434,155,980.028,5.130.918
Europe (BP),,1992,20.713.602,25.088,15.350.481,5.296.567
Europe (BP),,1993,22.907.095,32.383,2.284.826,55.046.674
Europe (BP),,1994,240.489,346.885,29.792.356,55.719.666
Europe (BP),,1995,26.537.632,4.484,38.630.292,5.648.899
Europe (BP),,1996,267.252,4.781.141,4.828.585,5.480.863
Europe (BP),,1997,3.168.752,56.926.243,7.295.493,56.767.896
Europe (BP),,1998,3.557.704,670.885,11.176.479,5.939.042
Europe (BP),,1999,374.546,8.019.806,14.244.322,59.818.085
Europe (BP),,2000,41.000.248,7.447.325,22.441.713,6.176.968
Europe (BP),,2001,4.494.067,1.942.025,26.925.287,61.199.994
Europe (BP),,2002,51.008.335,314.755,3.643.995,5.639.807
Europe (BP),,2003,58.088.623,46.869.776,4.490.515,5.301.677
Europe (BP),,2004,68.965.454,75.109.786,59.806.786,5.708.031
Europe (BP),,2005,7.902.817,15.123.832,7.164.175,5.717.242
Europe (BP),,2006,8.952.852,25.690.877,8.377.814,5.619.314
Europe (BP),,2007,9.974.035,38.777.049,106.507.195,5.639.646
Europe (BP),,2008,110.142.426,75.890.713,1.221.649,59.303.314
Europe (BP),,2009,12.076.332,14.324.835,13.615.523,5.897.449
Europe (BP),,2010,13.692.763,23.497.437,1.534.435,6.498.002
Europe (BP),,2011,1.462.206,4.710.555,18.665.741,56.964.545
Europe (BP),,2012,1.630.321,7.223.394,21.503.241,62.563.116
Europe (BP),,2013,17.434.535,8.654.612,24.811.525,66.173.596
Europe (BP),,2014,1.862.033,9.733.773,26.481.503,6.440.572
Europe (BP),,2015,1.989.238,108.234.604,31.893.124,6.361.143
Europe (BP),,2016,2.042.285,112.403.564,32.284.747,65.117.426
Europe (BP),,2017,21.130.125,12.275.744,38.422.113,58.438.574
Europe (BP),,2018,21.892.198,13.616.812,40.332.556,6.462.277
Europe (BP),,2019,2.280.151,15.044.255,4.593.421,62.863.184
Europe (BP),,2020,23.435.455,17.565.176,5.127.316,657.916
Europe (BP),,2021,24.793.518,19.555.212,50.302.396,6.496.524
European Union (27),,1965,2.909,0,0,21.180.603
European Union (27),,1966,3.979,0,0,23.045.381
European Union (27),,1967,4.316,0,0,22.219.263
European Union (27),,1968,4.818,0,0,2.265.809
European Union (27),,1969,5.243,0,0,2.224.579
European Union (27),,1970,6.940.266,0,0,23.472.273
European Union (27),,1971,7.057.851,0,0,23.322.775
European Union (27),,1972,6.925.944,0,0,2.448.364
European Union (27),,1973,7.442.191,0,0,2.435.321
European Union (27),,1974,7.829.309,0,0,26.301.743
European Union (27),,1975,8.282.595,0,0,26.490.546
European Union (27),,1976,8.305.585,0,0,2.311.628
European Union (27),,1977,8.646.165,0,0,3.075.857
European Union (27),,1978,91.188.545,0,3,29.947.946
European Union (27),,1979,9.285.328,0,6,3.139.237
European Union (27),,1980,10.387.278,0,105,29.770.767
European Union (27),,1981,1.008.439,0,105,293.823
European Union (27),,1982,9.287.153,0,185,28.888.766
European Union (27),,1983,9.568.938,0,301,29.468.158
European Union (27),,1984,9.946.245,0,382,2.988.656
European Union (27),,1985,11.357.507,0,574,30.517.215
European Union (27),,1986,12.278.871,0,1.336,28.830.338
European Union (27),,1987,12.051.266,0,1.908,31.656.955
European Union (27),,1988,12.824.092,0,3.297,33.419.867
European Union (27),,1989,12.659.168,9.090.909,5.064,27.293.823
